id,name,description,y
1009297,Falcon,"With a mental connection to all birds and a suit that gives him wings to fly, The Falcon has been both the partner to Captain America and an Avenger himself. Whether as a super hero or in his secret identity of social worker Sam Wilson, The Falcon dedicates his life to standing up for others.",action
1017110,Falcon/Sam Wilson (MAA),"Recruited from S.H.I.E.L.D. by his hero and mentor Tony Stark, Falcon is the Avengers' newest and youngest recruit. Like Tony, Sam is a genius with machines and technology. What he lacks in experience, Sam makes up in enthusiasm and determination. Falcon's suit of armor comes fully stocked with holographic wings, explosive flechettes, and retractable talons.",action
1009299,Fantastic Four,"After being exposed to cosmic rays, Reed Richards, Susan Storm, Ben Grimm and Johnny Storm found they had amazing new powers. Reed Richards found he has the ability to stretch his body in any way he wanted, while Susan Storm can turn herself, objects and other people invisible. Ben Grimm transformed into a rocky, super-strong behemoth and Johnny Storm has the ability to set himself on fire. Dubbed the Fantastic Four, Mr. Fantastic, Invisible Woman, Thing and the Human Torch are Marvel's First Family.",action
1009539,Franklin Richards,"The son of Reed Richards and Susan Storm of the Fantastic Four, Franklin may one day be the most powerful person on Earth. Right now, he's the son of a genius who finds adventure and fun around every corner.",action
1010980,Franklin Storm,Franklin Storm was the father of Susan and Johnny Storm.,action
1009645,Glenn Talbot,"Major Glenn Talbot was member of United States Air Force, United States Army and Hulkbusters.",action
1011299,Guardians of the Galaxy,"A group of cosmic adventurers brought together by Star-Lord, the  Guardians of the Galaxy protect the universe from threats all  across space. The team also includes Drax, Gamora, Groot and Rocket  Raccoon!",action
1009619,Gwen Stacy,"Peter Parker's first true love, Gwen Stacy was killed during a rescue attempt by Spider-Man, the guilt from which Peter has never overcome.",action
1017108,Hawkeye/Clint Barton (MAA),"Hawkeye is an expert archer with an attitude just as on-target as his aim. His stealth combat experience and his ability to hit any target with any projectile make him a valuable member of the Avengers. However, he refuses to let things get too serious, as he has as many jokes as he does arrows!",comedy
1011482,Hela,"Hela was born ages ago to the being who would one day be called Odin and a goddess whose name and image have been lost in antiquity. On the day of her maturity, Odin appointed her goddess and ruler of the northernmost realms of the dead. Her special dominion was over the souls of all who did not die in battle, while Odin himself built the palace Valhalla to house the souls of all of those who died as heroes. In recent years, when Odin&rsquo;s attention had strayed from the maintenance of Valhalla, Hela tried to annex that realm to her own, hoping to consolidate her power over all Asgard&rsquo;s dead. Eventually Odin grew aware of her ambitions and opposed them. In the course of battle, Odin&rsquo;s band of Valkyries, the custodians of Valhalla, lost their physical forms, no longer able to travel from Valhalla except in their wraith-like astral forms. Hela gave up her contest for Valhalla when Odin vowed to keep better watch over it in future, and she returned to her realms.",action
1009351,Hulk,"Caught in a gamma bomb explosion while trying to save the life of a teenager, Dr. Bruce Banner was transformed into the incredibly powerful creature called the Hulk. An all too often misunderstood hero, the angrier the Hulk gets, the stronger the Hulk gets.",action
1017098,Hulk (HAS),"The Hulk is the biggest, strongest, smashing-est hero in the Marvel Universe - the green glue that holds his crazy family-like team together. Hulk loves saving the world by smashing every alien, sea creature, and planet (literally) that tries to destroy it. He is the star of his best bud A-Bomb's web series, and just wants to show people his good intentions!",action
1017107,Hulk/Bruce Banner (MAA),"Scientist Bruce Banner was transformed into the Hulk as a result to gamma radiation exposure. Over 8 feet tall and weighing 1,040 pounds, it's Hulk's strength that makes him the strongest hero in the Marvel Universe! Hulk smashes all threats that dare disturb the peace and friendship he has found in the Avengers. ",action
1016839,Iron Fist (USM),"Danny is always focused yet relaxed - more Zen-focused than chill surfer dude. But when Danny turns into Iron First, he becomes very rigid with perfect posture. A very Yin/Yang character. 

Danny is THE Danny Rand â€“ the 17-year-old head of the giant Rand Corporation.  His wealth rivals Osbornâ€™s â€“ but youâ€™d never know it from his laid- back attitude. However, as Iron Fist, he takes his powers very seriously. 

While Danny and Luke are best friends, Danny has a special respect for Spider-Man, acting as a non-judgmental moral commentator on all of Spider-Manâ€™s actions. ",action
1009368,Iron Man,"Wounded, captured and forced to build a weapon by his enemies, billionaire industrialist Tony Stark instead created an advanced suit of armor to save his life and escape captivity. Now with a new outlook on life, Tony uses his money and intelligence to make the world a safer, better place as Iron Man.",action
1017104,Iron Man/Tony Stark (MAA),"Tony Stark is the genius inventor/billionaire/philanthropist owner of Stark Industries. With his super high-tech Iron Man suit, he is practically indestructible, able to fly, and has a large selection of weapons to choose from - but it's Tony's quick thinking and ability to adapt and improvise that make him an effective leader of the Avengers.        ",action
1009538,Iron Patriot (James Rhodes),"U.S. Air Force pilot and Tony Stark's friend who has his own suit of Iron Man armor, nicknamed, ""War Machine.""",action
1011876,Isaiah Bradley,Isaiah Bradley was an African-American solider that was turned into a super-soldier by Project: Rebirth and grandfather of the Patriot.,action
1011105,Jimmy Woo,Jimmy Woo is a former FBI and SHIELD agent from the '50s who now leads the Agents of Atlas in the present.,action
1009721,John Wraith,"A mutant with teleportation powers, Wraith served with Wolverine, Sabretooth, Maverick and Silver Fox in Team X, a covert operations unit formed by Weapon X.",action
1011319,Ken Ellis,"Former Daily Bugle and current DB! reporter Ken Ellis first made a splash during the public debut of Ben Reilly as the Scarlet Spider, providing the new costumed hero with his name following a pitched battle with Venom.",action
1009735,Mariko Yashida,"Mariko Yashida was the daughter of Japanese crimelord Lord Shingen, leader of Clan Yashida, and one-time fiance of Wolverine.",action
1009708,Mary Jane Watson,"Mary Jane Watson was the guiding light in Peter Parker's life, and their love had overcome countless obstacles.",action
1010993,Mary Jane Watson (House of M),"Mary Jane Watson always wanted to be an actress, but all the roles seemed to go to mutants, until her former high school friend, and world famous performer, Peter Parker asked her to play his love interest in his newest movie, upon the release of which made her America's sweetheart and one of the only human movies stars able to launch her own solo projects.",action
1009677,Matsu'o Tsurayaba,"Tsurayaba became leader of a faction of the ninja clan the Hand, finding himself at odds with his lover Kwannon who was an assassin for rival crimelord Nyoirin.",action
1009439,Meltdown,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home before eventually hooking up with the New Mutants and, subsequently, X-Force.",action
1013727,Miracleman,"Michael Moran has a superhuman alter ego. By saying the trigger word ""Kimota!"" Michael turns into Miracleman! But is the good of being Miracleman enough to outweigh the cost?",action
1017577,Ms. Marvel (Kamala Khan),"A Muslim-American teenager growing up in Jersey City, Kamala Khan gained shape-shifting powers when Inhumanity spread over the Earth. A fan of super heroes, in particular Carol Danvers, Kamala took up Captain Marvel's former identity, becoming the new Ms. Marvel. This up and coming hero works to protect her community and understand her place in the world.",action
1017078,Nova (Sam Alexander),"Sam Alexander inherited the role of Nova from his father, who went missing mysteriously. The new Human Rocket struggles to become a hero while searching for his dad.",action
1016837,Nova (USM),"The hyperactive loose cannon of the team. Sam Alexander always feels like he has something to prove. 

The hyperactive loose cannon of the group. Sam always feels like he has something to prove.

Samâ€™s powers derive from the Nova Force, which is channeled through his helmet. These powers include flight, enhanced durability, and the ability to absorb and release pulses of energy. However, Sam does not know the extent of his powers, let alone how they work.  

Enthusiastic and immature, Samâ€™s eagerness can be a blessing and a curse. His personality will constantly clash with Spideyâ€™s as they compete for bragging rights. ",action
1010779,Pete Wisdom,"Pete Wisdom is a former agent of the British intelligence agency Black Air, which was charged with the observation of, and interaction with, extranormal activity, and he was the agency's liaison with the British superhero group Excalibur, whom he eventually aided in exposing Black Air's subversive criminal activities.",action
1016840,Power Man (USM),"A former street kid whoâ€™s not quite used to the Super Hero world, Luke is a no-nonsense tough guy who serves as the emotional heart and big brother of the group. He is fiercely loyal and nearly fearless in battle. 

Lukeâ€™s unbreakable skin and super strength make him the bruiser out of all the trainees. Heâ€™s the first guy to jump into a fight. However, he can still be hurt by concussive blasts and other forms of energy.

As Dannyâ€™s best friend, Luke is the translator for Dannyâ€™s sometimes spacey, non-sequitur comments. Luke will always be the first to defend Peter from others, both as civilians and Super Heroes.",action
1017099,Red Hulk (HAS),"US Army General Thunderbolt Ross used to a be a huge pain in Hulk's you know what! But as the saying goes, if you can't beat 'em, join 'em! He decided to supersize himself and join the team as Red! Just as cranky as before, Red still gives Hulk a hard time, but deep down he loves being a part of the Agents of S.M.A.S.H. - that, and his Gatling Laser Cannon. ",action
1010744,Rocket Raccoon,"A genetically-engineered alien with a knack for big guns and fast ships, Rocket serves as the backbone of the Guardians of the Galaxy!",action
1010747,Runaways,"The teens who became the Runaways found that some family secrets are bigger than others when they witnessed their parents, part of a cabal known as the Pride, murdering a young girl during a secret sacrificial ritual. ",action
1009553,Sabra,"Ruth Bat-Seraph is an Israeli national who, along with her family, was taken to a special community by the Israeli government when her genetic mutation manifested.",action
1010861,Scarecrow (Ebenezer Laughton),"Realizing the criminal potential of his abilities, Umberto stole a flock of trained birds from a fellow performer to assist him in his new costumed criminal guise as the Scarecrow.",action
1010790,Scorpion (Carmilla Black),"Carmilla Black is a genetically engineered human, created by Advanced Idea Mechanics (A.I.M.).",action
1011230,Scrambler,"Korean national Kim Il Sung was the youngest member of the Marauders, the superhuman assassins responsible for massacring the underground mutant community known as the Morlocks.",action
1009566,Scream (Donna Diego),"Out of the five alien symbiotes that were forcefully extracted from Venom (while bonded with Eddie Brock) by the Life Foundation, Donna's is the only one still active today that is not bonded to Hybrid.",action
1011242,Screwball,"Trained in parkour, Screwball, fairly new to the New York City superhuman criminal community, specializes in recording he crimes and broadcasting them live over the internet.",action
1009581,Sebastian Shaw,Sebastian Shaw was invited to join the elite Hellfire Club and quickly worked his way into a position within the Inner Circle.,action
1009568,Selene,"The long-standing Black Queen of the Hellfire Club's Inner Circle, Selene Gallio professes to have lived for several millennia, and to have been a foe of the ancient sorcerer, Kulan Gath.",suspense
1009571,Sentry (Robert Reynolds),"Empowered by the enigmatic Professor's secret formula, high school student Robert Reynolds became a superhuman.",action
1010345,Sersi,"Sersi is a member of the Eternals, a species diverted from humanity by experiments conducted by the Celestials one million years ago.",action
1009573,Shadow King,"One of the oldest and more powerful mutants ever, Amahl Farouk has been a threat to mankind at least for decades. He was the first evil mutant met by Charles Xavier, convincing him of the need of the X-Men.",action
1010975,Shadowcat (Age of Apocalypse),Katherine Pryde lived in the suburbs of Illinois and kept her mutant abilities a secret.,suspense
1010974,Shadowcat (Ultimate),"After fourteen-year-old Kitty Pryde's mutant powers emerged, causing terrifying incidents where she uncontrollably phased out of the family apartment in to moving traffic andsewers, her mother Theresa contacted Professor Xavier.",action
1011406,Shadu the Shady,Shadu the Shady claimed to travel to many unseen magical lands and witnessed miracles he would duplicate at a club called the 53rd Card.,action
1009576,Shaman,"Dr. Michael Twoyoungmen was a surgeon who found that modern science was insufficient to accomplish everything he wished to do, and so he turned to mysticism that his grandfather told him about.",action
1009577,Shang-Chi,"Shang-Chi is the son of an internationally-renowned and powerful criminal mastermind whose childhood was a lonely one, full of constant training in rigorous mental and martial arts, with only limited contact with his parents.",action
1009578,Shanna the She-Devil,"The only daughter of a wealthy diamond miner, Shanna grew up in the Zaire jungles, where, at age six, she witnessed her father’s accidental fatal shooting of her mother, starting a lifelong loathing of firearms.",horror
1010712,Shape,"Often clashing with the heroes of the Squadron Supreme, the Shape was later subjected to the mind-altering behavior modification device used as part of the Squadron Supreme's ""Utopia Program.""",action
1009579,Shard,"Shard and her older brother Bishop were raised in the 21st Century, some eighty years into an alternate future, by their grandmother, in a timeline in which the X-Men were betrayed by one of their own and killed, causing a disaster that caused the government to place a stylized 'M' tattoo over the left eyes of all mutants.",action
1009580,Shatterstar,"Shatterstar is Gaveedra Seven, the product of bio-engineering on an otherdimensional world, who was at one point merged with an Earth mutant named Benjamin Russell, the nature of whose genetic mutation remains unknown.",action
1017111,She-Hulk (HAS),"She-Hulk is the Hulk's action-loving cousin. She's unbelievably strong, pilots the group's heavily armed Jump Jet, and uses a pair of Gamma Gauntlets that give her fists an added energy wallop. As the most competitive member of the team, She-Hulk never backs down from a fight, arm-wrestling match, or burping contest!  ",action
1009583,She-Hulk (Jennifer Walters),"Seriously wounded, young lawyer Jennifer Walters was given a blood transfusion by her cousin Bruce Banner. Usually in better control of her powers and temper than the Hulk, She-Hulk has been a high profile New York lawyer as well as an upstanding member of both the Avengers and Fantastic Four.",action
1009582,Shinobi Shaw,"Shinobi Shaw is the illegitimate son of Sebastian Shaw, who was rejected and abandoned by his father at an early age and grew tired of waiting to inherit his father's wealth and wearied of the elder Shaw's contempt for his decadent lifestyle.",suspense
1011394,Shiver Man,The Shiver Man is an undead bounty hunter who has worked with Nick Fury and Wolverine.,action
1009585,Shocker (Herman Schultz),"Herman Schultz is a career criminal who, after several prison terms for robbery, built a battle suit that sent out shock waves to quickly open safes as well as give him a significant advantage over the New York police.",action
1010858,Shockwave,"Lancaster Sneed was a secret agent working for the United Kingdom’s MI:6, but no one esteemed him as highly as himself, and despite his pride, he was wounded in an explosion on his first field assignment and forced to undergo a radical surgery that grafted metal plates and cybernetic systems to his body.",action
1009587,Shriek,Shriek became a groupie for a rock band and a drug dealer on the side until the vigilantes Cloak and Dagger happened by during one of her deals.,action
1009588,Sif,Sif was born a second generation goddess of Asgard and eventually became Thor's lover.,action
1010848,Silhouette,"Silhouette Chord is a descendant of the Dragon's Breadth cult, which spent centuries trying to master the Well of All Things, a hidden interdimensional mystic energy breach in Cambodia.",suspense
1009589,Silver Fox,"Silver Fox was a young member of the Blackfoot Indian tribe who, in the early 1910s, fell in love with a young mutant named Logan and shared a cabin with him in a remote community in the Canadian Rockies.",action
1009590,Silver Sable,"Silver Sable trained her entire life, becoming a master of a wide variety of weapons and training in all forms of hand-to-hand combat in preparation for the day she would inherit leadership of the Wild Pack.",action
1009591,Silver Samurai,Keniuchio Harada is the mutant son of the former Japanese crimelord Shingen Harada.,action
1010976,Silver Samurai (Age of Apocalypse),"Silver Samurai was a mutant rebel in his homeland of Japan, where, alongside Sunfire, he stood as the last line of defense against the hordes of Apocalypse.",action
1009592,Silver Surfer,"When Zenn-La was threatened by the world-devouring entity known as Galactus, Norrin Radd stood up for his home planet and offered to work for Galactus, finding him new planets to eat, in exchange for saving his own. Years later, the Surfer has protected Earth and many other planets, becoming one of the greatest heroes in the universe.",action
1010864,Silverclaw,"When her father died, Lupe was taken in by the Church orphanage, despite their misgivings about her “ungodly” powers.",action
1009594,Silvermane,Silvio Manfredi has been a career criminal for most of his life.,action
1010834,Siren (Earth-93060),Jennifer Pearson appeared on the Ultra hero scene as Siren after being held hostage by her fathers foe known as Mannequin.,action
1011223,Skaar,"The Hulk fathered a son while on the planet Sakaar, but thought him killed while still in his mother's womb; he was wrong.",action
1017101,Skaar (HAS),"No one knows where Skaar, the savage sword-swinger, came from, but one thing is for sure...he's a Hulk. The intensity of Skaarâ€™s war cry ""Skaar Slash!"" is matched only by his ferocious appetite. Although he is a great asset in the fight against evil, Skaar is just as destructive at home as he is on the battlefield. ",action
1009598,Skin,"Angelo Espinosa, a founding member of Generation X, code-named ""Skin"" due to his mutant ability to extend and control his extra skin in any number of ways.",action
1011157,Skreet,"The Proemial God Aegis revealed that Skreet was a Chaos Mite, a race of very small and powerful beings, which were deemed unstable by the Cosmic Consonance.",action
1011057,Slapstick,"Steven Harmon's powers have been described as ""all of the abilities of a Saturday morning cartoon character.""",action
1011070,Slayback,"Ten years ago, Slayback was killed by Deadpool before returning from the dead to break into Department K, from which he stole the Weapon X Program files of Kane and Deadpool.",action
1010761,Sleepwalker,Sleepwalkers are guardians of the Mindscape -- they apprehended beings that invade the sleeping minds of humans.,action
1009602,Slipstream,"Australian mutant siblings Heather and Davis Cameron were sent to live in Surfer's Paradise by their father in an effort to spare them from his life as Viceroy, godfather of Australian organized crime.",action
1010874,Slyde,"A scientist at Beemont Manufacturing, Jalome Beacher created a chemical that could be used to coat a surface and thereby eliminate all friction between it and any other object, which he used, after being downsized, to rob banks and his former employers.",action
1009603,Smasher (Vril Rokk),"Smasher is a member of the Imperial Guard, a multi-ethnic group of super-powered alien beings who act as enforcers of the laws of the Shi'ar Empire.",action
1009606,Snowbird,Narya's origins trace back to ancient times when the Eskimo Gods of the North battled the mystical Great Beasts for the fate of the world.,action
1010855,Solo (James Bourne),James Bourne was drafted to a top-secret special forces operation where he endured ten months of hard and brutal training to earn his place in the new counter-terrorist group Omega Strike.,action
1010693,Songbird,"Melissa Gold grew up on the streets, adopting her mother's name ""Mimi"" as part of a hard, cold persona she developed as a survival mechanism.",action
1010833,Speed,"Tommy Shepherd may be the son of the Scarlet Witch and the Vision, and thus the twin brother of Wiccan.",suspense
1011032,Speed Demon,"James Saunders, a disgruntled chemist tired of his job with the Hudson Pharmaceutical Company of West Caldwell, New Jersey, was contacted by the Grandmaster and offered superhuman powers in exchange for joining a team that would compete on his behalf.",action
1009609,Spider-Girl (May Parker),"May ""Mayday"" Parker is the daughter of Spider-Man and Mary Jane Watson-Parker. Born with all her fatherï¿½s powers-and the same silly sense of humor-sheï¿½s grown up to become one of Earthï¿½s most trusted heroes and a fitting tribute to her proud papa.",comedy
1011347,Spider-Ham (Larval Earth),"As Spider-Ham Peter faced such nefarious foes as Ductor Doom, Bull-Frog, Raven the Hunter, Hogzilla, the Buzzard and the King-Pig!",action
1012200,Spider-Man (House of M),"In the House of M universe, surrounded by his family, including his young son Richard and close friends, Peter Parker is the envy of the world and its most popular mutant; but lately, Peter has felt like something is wrong in his world.",suspense
1011114,Spider-Man (Marvel Zombies),"Zombie Spider-Man ate his own wife and aunt, the only two people left in the world who truly loved him.",horror
1016181,Spider-Man (Miles Morales),"Teenager Miles Morales grew up in Brooklyn, New York. Recently, Miles took on the controversial and pressured role of Spider-Man shortly after the death of the original. Morales made his debut against The Kangaroo, much to the surprise and disapproval of many present at the confrontation.",action
1009610,Spider-Man (Peter Parker),"Bitten by a radioactive spider, high school student Peter Parker gained the speed, strength and powers of a spider. Adopting the name Spider-Man, Peter hoped to start a career using his new abilities. Taught that with great power comes great responsibility, Spidey has vowed to use his powers to help people.",action
1011010,Spider-Man (Ultimate),"Peter’s relatively normal life changed abruptly during a school trip to Osborn Industries, Inc, where the company had been working on a super soldier serum, the Oz Compound; a spider exposed to it escaped and bit Peter before it was destroyed.",action
1009608,Spider-Woman (Jessica Drew),"When young Jessica Drew suffered uranium poisoning in 1931, her father was forced to inject her with his untested spider serum and seal her in a genetic accelerator.",action
1010794,Spider-Woman (Mattie Franklin),"Mattie Franklin was granted her powers when, after overhearing a phone call between her father and Norman Osborn about the Gathering of the Five, she took her father's place during the Gathering and was endowed with the awesome powers that Norman Osborn had wanted for himself.",action
1009614,Spiral (Rita Wayword),"Spiral was created to be an agent of Mojo, the despotic leader of Mojo World, often used as his favored personal servant, executioner, and spy.",suspense
1011158,Spirit,Spirit is a member of the Luphomoid race and she is one of the few survivors of her planet's destruction.,action
1010899,Spitfire,"During World War II, Jacqueline Falsworth bravely served in Britain’s Home Guard.",action
1009616,Spot,"Jonathan Ohnn was working as a research scientist on behalf of Wilson Fisk, the Kingpin of Crime.",action
1011180,Sprite,Sprite is a mischievous Eternal who maintains a perpetual youthful appearance.,comedy
1010860,Squirrel Girl,"Escaping the taunts of her fellow school students regarding her physical mutation, Los-Angeles born Doreen Green fled into the nearby woods where she quickly discovered her affinity for squirrels.",action
1010733,Star-Lord (Peter Quill),"Refusing to miss his opportunity, Peter Jason Quill stole a scoutship from Cape Canaveral, returned to Eve, and shot his way to the appointed spot, where his old rival Harrelson, NASA's choice to be Star-Lord, was awaiting selection, where Quill was transported away in his stead, and transformed into Star-Lord.",action
1009621,Starbolt,Starbolt is a member of the Shi'ar Imperial Guard.,action
1010764,Stardust,"As Herald for the world devourer, Galactus, Stardust found suitable worlds for her master to consume.",action
1011084,Starfox,"The youngest son of Mentor and Sui-San, Eros had the natural ability to excite pleasure in others, but his power had no effect upon his mutant older brother, Thanos, who worshiped the cosmic embodiment of Death and led an army against Titan.",action
1011341,Starhawk (Stakar Ogord),"Though best known as a 31st century hero in the alternate Reality-691 timeline, the enigmatic, space-faring Starhawk originated a millennium earlier.",action
1010828,Stature,Cassie Lang is the daughter of deceased Avenger Scott Lang and a member of the Young Avengers.,action
1012230,Stegron,Vincent Stegron was hired by S.H.I.E.L.D. to work with Dr. Curt Connors to study dinosaur DNA from the Savage Land.,action
1011159,Stellaris,"It is unknown how Stellaris survived the extermination of her home world by the Celestials or how she acquired her living armor, but ever since she has committed herself to their destruction.",action
1009625,Stepford Cuckoos,The Stepford Cuckoos were five identical mutant sisters who enrolled at the Xavier Institute and soon proved to be the crème de la crème of Emma Frost's telepathy class.,comedy
1009626,Stick,"Stick, who trained both Daredevil and Elektra in the martial arts, is the leader of the warrior order called The Chaste, and has fought alongside the clan's other members against The Hand for years.",action
1009627,Stilt-Man (Wibur Day),Wilbur Day was a scientist at Kaxton Labs who stole designs for a hydraulic ramming device from his company out of frustration of his position in his job.,action
1009628,Stingray (Walter Newell),"Creating the Stingray costume, Newell succeeded in capturing the Sub-Mariner, although Namor soon escaped and Newell, while initially defeating him a second time, allowed his friend to go.",action
1009629,Storm,"Ororo Monroe is the descendant of an ancient line of African priestesses, all of whom have white hair, blue eyes, and the potential to wield magic.",action
1010979,Storm (Age of Apocalypse),"Calling herself the Windrider, Storm carved out a small area of Africa as her own and intended to keep it safe from the strife of the war between humans and mutants.",action
